Clase,Pieza,Superficie_1,Superficie_2,Tamanio_cavidad_mm,Estado_cavidad,Tecnica,Tipo_resina,Indice_contraccion_%,Peso_resina_inicial_mg,Peso_sobrante_mg,Margen_cavo_mm,Ajuste_margen
I,1,Oclusal,ninguna,3.33,con_tejido,Bulk,Con fibra de vidrio,1.0,114.5,11.93,3.37,Equiobturado
I,1,Oclusal,ninguna,2.37,con_tejido,Bulk,Compuesta,2.0,70.56,10.12,1.59,Subobturado
I,1,Oclusal,ninguna,1.68,limpia,Estratificacion,Fluida,3.5,61.86,4.19,1.0,Subobturado
I,1,Oclusal,ninguna,3.21,con_tejido,Bulk,Compuesta,2.0,104.71,17.81,3.16,Equiobturado
I,1,Oclusal,ninguna,1.43,limpia,Estratificacion,Con fibra de vidrio,1.0,114.83,15.77,2.06,Sobreobturado
I,1,Oclusal,ninguna,4.1,con_tejido,Estratificacion,Fluida,3.5,80.79,9.73,3.84,Subobturado
I,1,Oclusal,ninguna,3.33,limpia,Bulk,Fluida,3.5,65.98,2.55,3.51,Equiobturado
I,1,Oclusal,ninguna,2.21,limpia,Bulk,Bulk,1.5,104.6,10.64,2.44,Sobreobturado
I,1,Oclusal,ninguna,4.8,limpia,Estratificacion,Con fibra de vidrio,1.0,101.35,14.89,4.39,Subobturado
I,1,Oclusal,ninguna,4.76,con_tejido,Bulk,Con fibra de vidrio,1.0,100.06,16.41,4.96,Sobreobturado
I,1,Oclusal,ninguna,2.8,limpia,Bulk,Compuesta,2.0,91.91,9.86,2.91,Equiobturado
I,1,Oclusal,ninguna,4.07,con_tejido,Bulk,Compuesta,2.0,84.62,2.43,3.54,Subobturado
I,1,Oclusal,ninguna,2.48,limpia,Estratificacion,Con fibra de vidrio,1.0,104.01,13.65,2.65,Equiobturado
I,1,Oclusal,ninguna,2.91,con_tejido,Estratificacion,Compuesta,2.0,60.15,7.54,3.45,Sobreobturado
I,1,Oclusal,ninguna,4.96,limpia,Estratificacion,Fluida,3.5,63.63,8.4,4.92,Equiobturado
I,1,Oclusal,ninguna,4.02,limpia,Bulk,Fluida,3.5,89.0,6.57,3.46,Subobturado
I,1,Oclusal,ninguna,3.21,con_tejido,Bulk,Con fibra de vidrio,1.0,112.13,18.34,2.94,Subobturado
I,1,Oclusal,ninguna,2.48,con_tejido,Bulk,Bulk,1.5,99.87,8.89,2.51,Equiobturado
I,1,Oclusal,ninguna,1.33,limpia,Estratificacion,Bulk,1.5,81.13,2.45,0.84,Subobturado
I,1,Oclusal,ninguna,1.67,limpia,Estratificacion,Compuesta,2.0,113.23,14.41,1.64,Equiobturado
