Clase,Pieza,Superficie_1,Superficie_2,Tamanio_cavidad_mm,Estado_cavidad,Tecnica,Tipo_resina,Indice_contraccion_%,Peso_resina_inicial_mg,Peso_sobrante_mg,Margen_cavo_mm,Ajuste_margen
III,6,Mesial,ninguna,3.14,con_tejido,Estratificacion,Con fibra de vidrio,1.0,105.76,11.16,3.05,Equiobturado
III,6,Mesial,ninguna,3.3,con_tejido,Estratificacion,Compuesta,2.0,117.43,8.6,3.27,Subobturado
III,6,Mesial,ninguna,3.38,con_tejido,Bulk,Fluida,3.5,109.41,1.78,3.19,Equiobturado
III,6,Mesial,ninguna,2.9,con_tejido,Bulk,Con fibra de vidrio,1.0,110.66,6.5,2.45,Subobturado
III,6,Mesial,ninguna,2.94,con_tejido,Bulk,Con fibra de vidrio,1.0,97.49,14.97,2.84,Equiobturado
III,6,Mesial,ninguna,1.58,con_tejido,Bulk,Con fibra de vidrio,1.0,106.01,0.72,1.58,Equiobturado
III,6,Mesial,ninguna,2.96,limpia,Estratificacion,Con fibra de vidrio,1.0,117.53,11.36,2.82,Equiobturado
III,6,Mesial,ninguna,4.5,limpia,Bulk,Compuesta,2.0,119.21,12.54,4.07,Subobturado
III,6,Mesial,ninguna,1.81,limpia,Estratificacion,Compuesta,2.0,102.52,4.66,1.83,Sobreobturado
III,6,Mesial,ninguna,2.32,limpia,Bulk,Bulk,1.5,87.99,11.94,2.43,Sobreobturado
III,6,Mesial,ninguna,2.37,limpia,Estratificacion,Bulk,1.5,71.69,11.9,1.64,Subobturado
III,6,Mesial,ninguna,2.44,limpia,Estratificacion,Compuesta,2.0,79.2,7.7,2.31,Subobturado
III,6,Mesial,ninguna,3.21,limpia,Estratificacion,Bulk,1.5,66.77,7.7,3.3,Equiobturado
III,6,Mesial,ninguna,3.47,con_tejido,Estratificacion,Bulk,1.5,75.7,12.2,3.06,Subobturado
III,6,Mesial,ninguna,4.38,con_tejido,Bulk,Compuesta,2.0,108.81,4.93,4.32,Equiobturado
III,6,Mesial,ninguna,4.25,con_tejido,Bulk,Bulk,1.5,64.04,11.69,4.7,Sobreobturado
III,6,Mesial,ninguna,2.39,con_tejido,Estratificacion,Con fibra de vidrio,1.0,96.01,16.64,2.38,Equiobturado
III,6,Mesial,ninguna,1.48,con_tejido,Bulk,Fluida,3.5,103.2,10.25,1.33,Equiobturado
III,6,Mesial,ninguna,1.05,con_tejido,Bulk,Fluida,3.5,108.38,10.74,0.86,Equiobturado
III,6,Mesial,ninguna,4.32,limpia,Bulk,Fluida,3.5,69.79,8.33,3.61,Subobturado
III,6,Mesial,ninguna,3.82,con_tejido,Estratificacion,Bulk,1.5,83.66,6.93,4.61,Sobreobturado
III,6,Mesial,ninguna,3.47,con_tejido,Bulk,Compuesta,2.0,85.08,15.64,3.31,Equiobturado
III,6,Mesial,ninguna,1.96,con_tejido,Bulk,Bulk,1.5,78.62,13.03,1.9,Subobturado
III,6,Mesial,ninguna,3.01,con_tejido,Bulk,Con fibra de vidrio,1.0,89.04,11.07,3.14,Sobreobturado
III,6,Mesial,ninguna,3.01,limpia,Bulk,Compuesta,2.0,72.71,1.16,3.2,Equiobturado
III,6,Distal,ninguna,4.04,con_tejido,Estratificacion,Fluida,3.5,117.46,5.42,4.02,Equiobturado
III,6,Distal,ninguna,4.24,con_tejido,Bulk,Compuesta,2.0,91.67,17.86,4.63,Sobreobturado
III,6,Distal,ninguna,2.12,con_tejido,Estratificacion,Con fibra de vidrio,1.0,82.1,0.89,1.6,Subobturado
III,6,Distal,ninguna,4.07,con_tejido,Estratificacion,Fluida,3.5,91.82,2.61,4.49,Sobreobturado
III,6,Distal,ninguna,1.94,limpia,Estratificacion,Bulk,1.5,113.64,19.5,1.76,Equiobturado
III,6,Distal,ninguna,2.97,limpia,Estratificacion,Fluida,3.5,119.14,4.22,2.36,Subobturado
III,6,Distal,ninguna,2.84,limpia,Bulk,Bulk,1.5,107.97,10.92,3.01,Sobreobturado
III,6,Distal,ninguna,4.55,con_tejido,Estratificacion,Bulk,1.5,84.63,4.68,3.85,Subobturado
