Clase,Pieza,Superficie_1,Superficie_2,Tamanio_cavidad_mm,Estado_cavidad,Tecnica,Tipo_resina,Indice_contraccion_%,Peso_resina_inicial_mg,Peso_sobrante_mg,Margen_cavo_mm,Ajuste_margen
II,31,Mesial,ninguna,4.43,con_tejido,Bulk,Con fibra de vidrio,1.0,124.37,12.39,4.52,Equiobturado
II,20,Distal,ninguna,4.94,limpia,Bulk,Con fibra de vidrio,1.0,130.03,20.04,5.25,Sobreobturado
II,18,Mesial,ninguna,5.44,con_tejido,Estratificacion,Fluida,3.5,122.27,15.94,5.9,Sobreobturado
II,15,Mesial,ninguna,3.75,limpia,Estratificacion,Compuesta,2.0,144.14,26.13,4.0,Sobreobturado
II,31,Mesial,ninguna,3.22,limpia,Estratificacion,Compuesta,2.0,101.96,18.76,3.03,Subobturado
II,3,Mesial,ninguna,3.98,con_tejido,Estratificacion,Compuesta,2.0,103.3,4.47,3.39,Subobturado
II,12,Distal,ninguna,5.29,limpia,Bulk,Compuesta,2.0,101.98,9.91,5.09,Equiobturado
II,1,Mesial,ninguna,3.8,con_tejido,Bulk,Con fibra de vidrio,1.0,105.01,17.13,4.6,Sobreobturado
II,1,Mesial,ninguna,3.68,limpia,Bulk,Con fibra de vidrio,1.0,134.78,6.97,3.87,Equiobturado
II,30,Distal,ninguna,4.93,con_tejido,Estratificacion,Fluida,3.5,140.48,6.43,4.39,Subobturado
II,4,Mesial,ninguna,3.72,con_tejido,Bulk,Fluida,3.5,111.84,18.16,2.78,Subobturado
II,16,Distal,ninguna,5.81,limpia,Bulk,Con fibra de vidrio,1.0,115.43,0.82,4.92,Subobturado
II,4,Mesial,ninguna,3.15,con_tejido,Estratificacion,Compuesta,2.0,141.39,10.91,2.97,Subobturado
II,28,Distal,ninguna,4.91,con_tejido,Bulk,Fluida,3.5,145.06,20.09,5.0,Equiobturado
II,12,Distal,ninguna,4.84,limpia,Bulk,Fluida,3.5,146.82,7.69,4.88,Equiobturado
II,15,Mesial,ninguna,3.17,limpia,Estratificacion,Compuesta,2.0,115.08,1.29,3.03,Equiobturado
II,21,Mesial,ninguna,5.85,limpia,Estratificacion,Con fibra de vidrio,1.0,148.89,17.17,6.0,Equiobturado
II,30,Distal,ninguna,2.64,limpia,Bulk,Bulk,1.5,106.16,19.09,3.25,Sobreobturado
II,15,Mesial,ninguna,3.79,limpia,Estratificacion,Con fibra de vidrio,1.0,111.08,1.89,3.73,Subobturado
II,32,Distal,ninguna,3.72,con_tejido,Estratificacion,Bulk,1.5,132.1,1.86,3.84,Equiobturado
