Clase,Pieza,Superficie_1,Superficie_2,Tamanio_cavidad_mm,Estado_cavidad,Tecnica,Tipo_resina,Indice_contraccion_%,Peso_resina_inicial_mg,Peso_sobrante_mg,Margen_cavo_mm,Ajuste_margen
IV,6,Incisal,Mesial,2.18,con_tejido,Bulk,Fluida,3.5,86.04,5.94,2.37,Sobreobturado
IV,6,Incisal,Mesial,4.62,limpia,Bulk,Fluida,3.5,107.64,15.71,4.52,Subobturado
IV,6,Incisal,Mesial,5.39,limpia,Estratificacion,Con fibra de vidrio,1.0,98.6,1.27,5.89,Sobreobturado
IV,6,Incisal,Mesial,5.2,con_tejido,Bulk,Compuesta,2.0,99.0,10.09,4.95,Subobturado
IV,6,Incisal,Mesial,4.48,limpia,Estratificacion,Con fibra de vidrio,1.0,86.84,5.62,4.03,Subobturado
IV,6,Incisal,Mesial,4.89,limpia,Bulk,Bulk,1.5,112.06,17.39,4.94,Equiobturado
IV,6,Incisal,Mesial,3.51,limpia,Bulk,Bulk,1.5,86.93,4.33,3.39,Equiobturado
IV,6,Incisal,Mesial,1.67,con_tejido,Estratificacion,Compuesta,2.0,105.18,3.09,1.69,Equiobturado
IV,6,Incisal,Mesial,3.14,con_tejido,Bulk,Fluida,3.5,117.8,18.92,3.14,Equiobturado
IV,6,Incisal,Mesial,1.97,con_tejido,Estratificacion,Bulk,1.5,103.31,10.25,2.64,Sobreobturado
IV,6,Incisal,Mesial,1.88,limpia,Bulk,Fluida,3.5,92.23,16.27,1.14,Subobturado
IV,6,Incisal,Mesial,3.6,con_tejido,Estratificacion,Compuesta,2.0,127.59,2.58,2.81,Subobturado
IV,6,Incisal,Mesial,2.31,limpia,Estratificacion,Bulk,1.5,125.46,17.81,2.51,Equiobturado
IV,6,Incisal,Mesial,4.92,limpia,Estratificacion,Compuesta,2.0,98.51,15.51,5.38,Sobreobturado
IV,6,Incisal,Mesial,2.25,limpia,Bulk,Compuesta,2.0,129.91,20.96,1.36,Subobturado
IV,6,Incisal,Mesial,2.39,con_tejido,Estratificacion,Con fibra de vidrio,1.0,125.74,10.57,1.63,Subobturado
IV,6,Incisal,Mesial,3.97,limpia,Estratificacion,Con fibra de vidrio,1.0,129.54,12.15,3.29,Subobturado
IV,6,Incisal,Mesial,1.56,con_tejido,Estratificacion,Bulk,1.5,83.04,3.96,1.58,Equiobturado
IV,6,Incisal,Mesial,2.71,con_tejido,Estratificacion,Fluida,3.5,98.63,11.72,2.41,Subobturado
IV,6,Incisal,Mesial,3.17,con_tejido,Estratificacion,Bulk,1.5,110.65,11.97,3.52,Sobreobturado
IV,6,Incisal,Mesial,1.83,limpia,Estratificacion,Con fibra de vidrio,1.0,117.37,2.62,1.78,Subobturado
IV,6,Incisal,Mesial,3.47,limpia,Estratificacion,Bulk,1.5,106.1,5.9,3.59,Sobreobturado
IV,6,Incisal,Mesial,2.09,con_tejido,Estratificacion,Bulk,1.5,109.46,6.3,1.4,Subobturado
IV,6,Incisal,Mesial,2.3,limpia,Bulk,Fluida,3.5,95.04,11.93,2.13,Equiobturado
IV,6,Incisal,Mesial,2.75,con_tejido,Bulk,Bulk,1.5,81.41,1.17,2.33,Subobturado
IV,6,Incisal,Distal,4.88,limpia,Bulk,Con fibra de vidrio,1.0,126.73,15.38,4.39,Subobturado
IV,6,Incisal,Distal,1.92,con_tejido,Estratificacion,Bulk,1.5,117.81,3.77,1.92,Equiobturado
IV,6,Incisal,Distal,4.9,limpia,Estratificacion,Con fibra de vidrio,1.0,108.15,7.45,4.8,Equiobturado
IV,6,Incisal,Distal,1.87,limpia,Bulk,Compuesta,2.0,108.12,6.5,1.93,Equiobturado
IV,6,Incisal,Distal,4.26,limpia,Bulk,Bulk,1.5,87.95,9.9,4.95,Sobreobturado
IV,6,Incisal,Distal,4.15,limpia,Bulk,Fluida,3.5,98.37,7.4,3.66,Subobturado
IV,6,Incisal,Distal,4.33,con_tejido,Estratificacion,Compuesta,2.0,115.81,19.81,4.32,Equiobturado
IV,6,Incisal,Distal,4.29,limpia,Estratificacion,Bulk,1.5,84.15,7.09,3.32,Subobturado
IV,6,Incisal,Distal,1.69,con_tejido,Estratificacion,Bulk,1.5,125.46,1.13,2.45,Sobreobturado
IV,6,Incisal,Distal,5.06,limpia,Estratificacion,Compuesta,2.0,124.3,9.22,5.22,Equiobturado
IV,6,Incisal,Distal,2.44,con_tejido,Bulk,Bulk,1.5,91.01,0.09,2.86,Sobreobturado
IV,6,Incisal,Distal,4.51,limpia,Estratificacion,Bulk,1.5,90.26,17.51,4.31,Subobturado
IV,6,Incisal,Distal,3.01,limpia,Estratificacion,Bulk,1.5,125.5,22.77,3.07,Equiobturado
IV,6,Incisal,Distal,4.01,con_tejido,Bulk,Bulk,1.5,115.18,9.4,3.1,Subobturado
IV,6,Incisal,Distal,2.56,con_tejido,Bulk,Bulk,1.5,128.24,2.54,2.72,Equiobturado
IV,6,Incisal,Distal,3.49,con_tejido,Bulk,Fluida,3.5,87.25,9.09,3.4,Equiobturado
