Clase,Pieza,Superficie_1,Superficie_2,Tamanio_cavidad_mm,Estado_cavidad,Tecnica,Tipo_resina,Indice_contraccion_%,Peso_resina_inicial_mg,Peso_sobrante_mg,Margen_cavo_mm,Ajuste_margen
V,5,Bucal,ninguna,3.2,limpia,Estratificacion,Fluida,3.5,61.2,5.21,3.32,Equiobturado
V,15,Lingual,ninguna,2.46,limpia,Bulk,Bulk,1.5,97.25,17.67,2.86,Sobreobturado
V,8,Lingual,ninguna,1.49,con_tejido,Estratificacion,Compuesta,2.0,84.78,13.37,2.23,Sobreobturado
V,9,Lingual,ninguna,3.8,limpia,Estratificacion,Bulk,1.5,85.17,7.12,3.5,Subobturado
V,5,Bucal,ninguna,1.33,con_tejido,Estratificacion,Compuesta,2.0,119.4,11.99,1.28,Equiobturado
V,30,Bucal,ninguna,1.53,con_tejido,Bulk,Bulk,1.5,94.15,12.28,1.72,Equiobturado
V,16,Lingual,ninguna,2.86,con_tejido,Bulk,Con fibra de vidrio,1.0,94.32,16.18,3.02,Equiobturado
V,25,Bucal,ninguna,2.99,limpia,Estratificacion,Fluida,3.5,78.72,0.76,2.6,Subobturado
V,10,Lingual,ninguna,3.61,con_tejido,Estratificacion,Fluida,3.5,87.5,2.87,2.99,Subobturado
V,1,Lingual,ninguna,1.21,con_tejido,Estratificacion,Con fibra de vidrio,1.0,99.58,2.8,1.02,Subobturado
V,15,Bucal,ninguna,1.42,limpia,Estratificacion,Bulk,1.5,94.91,1.4,1.71,Sobreobturado
V,9,Lingual,ninguna,4.14,con_tejido,Bulk,Fluida,3.5,100.83,19.49,3.86,Subobturado
V,26,Lingual,ninguna,1.1,limpia,Bulk,Bulk,1.5,85.86,11.16,0.19,Subobturado
V,13,Lingual,ninguna,1.7,con_tejido,Bulk,Bulk,1.5,103.82,10.84,1.15,Subobturado
V,8,Bucal,ninguna,2.61,limpia,Bulk,Con fibra de vidrio,1.0,66.43,7.67,2.63,Equiobturado
V,21,Bucal,ninguna,2.94,limpia,Estratificacion,Con fibra de vidrio,1.0,83.1,6.49,2.8,Equiobturado
V,30,Bucal,ninguna,5.0,limpia,Estratificacion,Fluida,3.5,102.3,20.45,5.28,Sobreobturado
V,10,Lingual,ninguna,4.05,limpia,Bulk,Bulk,1.5,69.63,7.5,3.22,Subobturado
V,16,Lingual,ninguna,4.92,con_tejido,Bulk,Fluida,3.5,102.98,16.78,5.33,Sobreobturado
V,24,Bucal,ninguna,1.29,limpia,Bulk,Con fibra de vidrio,1.0,81.55,9.07,0.7,Subobturado
V,31,Lingual,ninguna,3.67,con_tejido,Estratificacion,Bulk,1.5,97.32,4.95,3.93,Sobreobturado
V,9,Bucal,ninguna,2.99,con_tejido,Bulk,Fluida,3.5,99.05,5.0,3.29,Sobreobturado
V,11,Bucal,ninguna,1.08,con_tejido,Estratificacion,Fluida,3.5,110.24,21.34,1.11,Sobreobturado
