Clase,Pieza,Superficie_1,Superficie_2,Superficie_3,Superficie_4,Superficie_5,Tamanio_cavidad_mm,Estado_cavidad,Tecnica,Tipo_resina,Indice_contraccion_%,Peso_resina_inicial_mg,Peso_sobrante_mg,Margen_cavo_mm,Ajuste_margen
VI,26,Incisal,ninguna,ninguna,ninguna,ninguna,10.5,con_tejido,Estratificacion,Con fibra de vidrio,1.75,106.9,17.04,0.04,Equiobturado
V,19,Lingual,ninguna,ninguna,ninguna,ninguna,21.5,limpia,Estratificacion,Compuesta,2.75,226.88,20.45,0.11,Sobreobturado
I,11,Bucal,ninguna,ninguna,ninguna,ninguna,4.5,con_tejido,Estratificacion,Con fibra de vidrio,1.25,77.5,8.54,0.09,Equiobturado
II,3,Mesial,Oclusal,ninguna,ninguna,ninguna,59.0,limpia,Bulk,Bulk,1.75,279.5,44.51,0.15,Sobreobturado
II,14,Mesial,Oclusal,Lingual,ninguna,ninguna,55.5,limpia,Bulk,Con fibra de vidrio,4.0,514.25,36.74,-0.15,Subobturado
V,5,Lingual,ninguna,ninguna,ninguna,ninguna,12.5,con_tejido,Bulk,Bulk,3.0,224.06,13.86,0.17,Sobreobturado
II,1,Mesial,Oclusal,ninguna,ninguna,ninguna,52.25,limpia,Bulk,Fluida,2.5,225.55,19.24,-0.13,Subobturado
II,28,Mesial,Distal,Oclusal,ninguna,ninguna,28.25,con_tejido,Estratificacion,Fluida,3.0,199.98,8.54,0.07,Equiobturado
IV,7,Mesial,Bucal,Lingual,ninguna,ninguna,31.5,con_tejido,Bulk,Compuesta,1.5,159.95,10.51,0.05,Equiobturado
V,29,Bucal,ninguna,ninguna,ninguna,ninguna,19.5,con_tejido,Bulk,Fluida,3.5,313.44,44.23,0.02,Equiobturado
II,21,Mesial,Oclusal,ninguna,ninguna,ninguna,25.5,limpia,Bulk,Con fibra de vidrio,3.25,110.9,6.64,-0.08,Subobturado
I,14,Lingual,ninguna,ninguna,ninguna,ninguna,6.25,limpia,Estratificacion,Compuesta,2.5,183.04,14.6,0.18,Sobreobturado
I,6,Oclusal,ninguna,ninguna,ninguna,ninguna,5.25,con_tejido,Bulk,Compuesta,2.0,116.88,9.01,0.06,Equiobturado
II,12,Mesial,Oclusal,Lingual,ninguna,ninguna,41.0,con_tejido,Bulk,Con fibra de vidrio,4.0,347.44,35.46,0.01,Equiobturado
II,13,Distal,Oclusal,Lingual,ninguna,ninguna,34.75,limpia,Bulk,Con fibra de vidrio,1.75,146.69,5.02,-0.07,Subobturado
I,16,Bucal,ninguna,ninguna,ninguna,ninguna,5.25,con_tejido,Estratificacion,Compuesta,3.0,151.88,19.47,0.18,Sobreobturado
V,15,Bucal,ninguna,ninguna,ninguna,ninguna,25.0,limpia,Estratificacion,Con fibra de vidrio,1.75,152.5,12.77,0.17,Sobreobturado
IV,25,Distal,Bucal,Lingual,ninguna,ninguna,24.75,limpia,Estratificacion,Compuesta,3.0,243.63,10.35,0.05,Equiobturado
II,4,Mesial,Oclusal,Lingual,ninguna,ninguna,38.75,con_tejido,Bulk,Compuesta,1.75,170.05,22.87,0.0,Equiobturado
II,12,Mesial,Oclusal,ninguna,ninguna,ninguna,31.5,con_tejido,Bulk,Bulk,2.25,97.7,8.81,0.18,Sobreobturado
II,13,Mesial,Distal,Oclusal,ninguna,ninguna,41.75,con_tejido,Estratificacion,Con fibra de vidrio,2.5,242.32,21.01,0.03,Equiobturado
II,29,Mesial,Distal,Oclusal,ninguna,ninguna,39.5,limpia,Bulk,Fluida,1.25,137.93,17.19,-0.19,Subobturado
I,14,Lingual,ninguna,ninguna,ninguna,ninguna,16.0,con_tejido,Bulk,Con fibra de vidrio,4.0,400.0,20.71,-0.02,Subobturado
I,14,Lingual,ninguna,ninguna,ninguna,ninguna,4.75,con_tejido,Estratificacion,Bulk,1.75,110.71,12.16,0.08,Equiobturado
V,26,Bucal,ninguna,ninguna,ninguna,ninguna,9.0,limpia,Estratificacion,Compuesta,1.5,98.12,11.14,-0.05,Subobturado
II,21,Mesial,Distal,Oclusal,ninguna,ninguna,36.5,con_tejido,Estratificacion,Con fibra de vidrio,1.75,156.91,9.71,0.09,Equiobturado
II,20,Mesial,Oclusal,Lingual,ninguna,ninguna,49.75,con_tejido,Estratificacion,Con fibra de vidrio,3.5,362.04,49.16,0.06,Equiobturado
V,21,Lingual,ninguna,ninguna,ninguna,ninguna,14.25,limpia,Estratificacion,Con fibra de vidrio,3.0,238.28,20.45,0.2,Sobreobturado
II,16,Mesial,Oclusal,Bucal,ninguna,ninguna,34.5,limpia,Estratificacion,Compuesta,1.5,185.39,16.15,0.04,Equiobturado
I,25,Oclusal,ninguna,ninguna,ninguna,ninguna,4.0,con_tejido,Estratificacion,Con fibra de vidrio,2.5,112.5,8.39,0.15,Sobreobturado
III,9,Mesial,Lingual,ninguna,ninguna,ninguna,13.25,con_tejido,Estratificacion,Fluida,2.5,127.81,9.36,-0.05,Subobturado
I,10,Lingual,ninguna,ninguna,ninguna,ninguna,3.25,con_tejido,Bulk,Fluida,3.75,143.12,6.99,-0.19,Subobturado
II,29,Distal,Oclusal,Bucal,ninguna,ninguna,47.0,con_tejido,Estratificacion,Bulk,2.5,272.98,29.01,0.15,Sobreobturado
II,19,Mesial,Distal,Oclusal,Lingual,ninguna,119.75,limpia,Bulk,Fluida,3.75,979.0,92.16,0.06,Equiobturado
I,10,Oclusal,ninguna,ninguna,ninguna,ninguna,3.25,con_tejido,Estratificacion,Bulk,2.25,90.62,12.72,0.04,Equiobturado
II,18,Distal,Oclusal,Lingual,ninguna,ninguna,60.75,con_tejido,Estratificacion,Fluida,2.25,410.12,54.79,0.04,Equiobturado
I,29,Oclusal,ninguna,ninguna,ninguna,ninguna,12.0,limpia,Estratificacion,Bulk,2.0,160.0,23.51,-0.14,Subobturado
